"Sample","Orchard","Location","Row","Direction","Interval","Interval.Duration","Date","PollenType","Count","TotalPollen","NonCherry","Propos","num"
9,"HBA","CANOPY","1C","N","PM",15,"17 May 2016","Other angiosperm",169,446,170,0.3789237668,82
10,"HBA","CANOPY","1C","S","AM",9,"17 May 2016","Other angiosperm",189,589,189,0.3208828523,83
10,"HBA","CANOPY","1C","S","PM",15,"17 May 2016","Other angiosperm",179,508,182,0.3523622047,84
13,"HBA","CANOPY","2A","N","AM",9,"17 May 2016","Other angiosperm",12,42,13,0.2857142857,85
13,"HBA","CANOPY","2A","N","PM",15,"17 May 2016","Other angiosperm","NA","NA","NA","NA",86
14,"HBA","CANOPY","2A","S","AM",9,"17 May 2016","Other angiosperm",50,138,52,0.3623188406,87
14,"HBA","CANOPY","2A","S","PM",15,"17 May 2016","Other angiosperm",90,291,103,0.3092783505,88
17,"HBA","CANOPY","2B","N","AM",9,"17 May 2016","Other angiosperm",40,121,40,0.3305785124,89
17,"HBA","CANOPY","2B","N","PM",15,"17 May 2016","Other angiosperm",2247,7471,2259,0.3007629501,90
18,"HBA","CANOPY","2B","S","AM",9,"17 May 2016","Other angiosperm",25,84,26,0.2976190476,91
18,"HBA","CANOPY","2B","S","PM",15,"17 May 2016","Other angiosperm",773,2212,778,0.3494575045,92
21,"HBA","CANOPY","2C","N","AM",9,"17 May 2016","Other angiosperm",7,20,8,0.35,93
21,"HBA","CANOPY","2C","N","PM",15,"17 May 2016","Other angiosperm",48,197,49,0.2436548223,94
22,"HBA","CANOPY","2C","S","AM",9,"17 May 2016","Other angiosperm",35,92,37,0.3804347826,95
22,"HBA","CANOPY","2C","S","PM",15,"17 May 2016","Other angiosperm",263,958,270,0.2745302714,96
25,"HBA","CANOPY","3A","N","AM",9,"17 May 2016","Other angiosperm",31,50,31,0.62,97
25,"HBA","CANOPY","3A","N","PM",15,"17 May 2016","Other angiosperm",273,922,278,0.2960954447,98
26,"HBA","CANOPY","3A","S","AM",9,"17 May 2016","Other angiosperm",68,146,68,0.4657534247,99
26,"HBA","CANOPY","3A","S","PM",15,"17 May 2016","Other angiosperm",367,1382,370,0.2655571635,100
29,"HBA","CANOPY","3B","N","AM",9,"17 May 2016","Other angiosperm",37,79,37,0.4683544304,101
29,"HBA","CANOPY","3B","N","PM",15,"17 May 2016","Other angiosperm",177,675,182,0.2622222222,102
30,"HBA","CANOPY","3B","S","AM",9,"17 May 2016","Other angiosperm",110,242,112,0.4545454545,103
30,"HBA","CANOPY","3B","S","PM",15,"17 May 2016","Other angiosperm",77,260,81,0.2961538462,104
33,"HBA","CANOPY","3C","N","AM",9,"17 May 2016","Other angiosperm",3167,6398,3171,0.494998437,105
33,"HBA","CANOPY","3C","N","PM",15,"17 May 2016","Other angiosperm",207,576,207,0.359375,106
34,"HBA","CANOPY","3C","S","AM",9,"17 May 2016","Other angiosperm",223,483,224,0.4616977226,107
34,"HBA","CANOPY","3C","S","PM",15,"17 May 2016","Other angiosperm",291,679,296,0.4285714286,108
3,"HBA","ROW","1A","N","AM",9,"17 May 2016","Other angiosperm",24,55,28,0.4363636364,109
3,"HBA","ROW","1A","N","PM",15,"17 May 2016","Other angiosperm",54,121,56,0.4462809917,110
4,"HBA","ROW","1A","S","AM",9,"17 May 2016","Other angiosperm",82,307,85,0.2671009772,111
4,"HBA","ROW","1A","S","PM",15,"17 May 2016","Other angiosperm",65,145,67,0.4482758621,112
7,"HBA","ROW","1B","N","AM",9,"17 May 2016","Other angiosperm",20,36,20,0.5555555556,113
7,"HBA","ROW","1B","N","PM",15,"17 May 2016","Other angiosperm",56,176,59,0.3181818182,114
8,"HBA","ROW","1B","S","AM",9,"17 May 2016","Other angiosperm",36,63,38,0.5714285714,115
8,"HBA","ROW","1B","S","PM",15,"17 May 2016","Other angiosperm",71,189,78,0.3756613757,116
11,"HBA","ROW","1C","N","AM",9,"17 May 2016","Other angiosperm",40,93,41,0.4301075269,117
11,"HBA","ROW","1C","N","PM",15,"17 May 2016","Other angiosperm",47,143,49,0.3286713287,118
12,"HBA","ROW","1C","S","AM",9,"17 May 2016","Other angiosperm",29,99,29,0.2929292929,119
12,"HBA","ROW","1C","S","PM",15,"17 May 2016","Other angiosperm",98,303,102,0.3234323432,120
15,"HBA","ROW","2A","N","AM",9,"17 May 2016","Other angiosperm",30,83,31,0.3614457831,121
15,"HBA","ROW","2A","N","PM",15,"17 May 2016","Other angiosperm",31,110,37,0.2818181818,122
16,"HBA","ROW","2A","S","AM",9,"17 May 2016","Other angiosperm",69,180,72,0.3833333333,123
16,"HBA","ROW","2A","S","PM",15,"17 May 2016","Other angiosperm",69,189,73,0.3650793651,124
19,"HBA","ROW","2B","N","AM",9,"17 May 2016","Other angiosperm",27,55,29,0.4909090909,125
19,"HBA","ROW","2B","N","PM",15,"17 May 2016","Other angiosperm",61,200,67,0.305,126
20,"HBA","ROW","2B","S","AM",9,"17 May 2016","Other angiosperm",79,196,79,0.4030612245,127
20,"HBA","ROW","2B","S","PM",15,"17 May 2016","Other angiosperm",74,201,81,0.368159204,128
23,"HBA","ROW","2C","N","AM",9,"17 May 2016","Other angiosperm",18,40,19,0.45,129
23,"HBA","ROW","2C","N","PM",15,"17 May 2016","Other angiosperm",44,142,46,0.3098591549,130
24,"HBA","ROW","2C","S","AM",9,"17 May 2016","Other angiosperm",43,147,43,0.2925170068,131
24,"HBA","ROW","2C","S","PM",15,"17 May 2016","Other angiosperm",105,349,115,0.3008595989,132
27,"HBA","ROW","3A","N","AM",9,"17 May 2016","Other angiosperm",20,63,22,0.3174603175,133
27,"HBA","ROW","3A","N","PM",15,"17 May 2016","Other angiosperm",42,133,44,0.3157894737,134
28,"HBA","ROW","3A","S","AM",9,"17 May 2016","Other angiosperm",86,234,92,0.3675213675,135
28,"HBA","ROW","3A","S","PM",15,"17 May 2016","Other angiosperm",43,138,46,0.3115942029,136
31,"HBA","ROW","3B","N","AM",9,"17 May 2016","Other angiosperm",49,108,50,0.4537037037,137
31,"HBA","ROW","3B","N","PM",15,"17 May 2016","Other angiosperm",48,179,48,0.2681564246,138
32,"HBA","ROW","3B","S","AM",9,"17 May 2016","Other angiosperm",148,305,151,0.4852459016,139
32,"HBA","ROW","3B","S","PM",15,"17 May 2016","Other angiosperm",51,156,53,0.3269230769,140
35,"HBA","ROW","3C","N","AM",9,"17 May 2016","Other angiosperm",53,118,53,0.4491525424,141
35,"HBA","ROW","3C","N","PM",15,"17 May 2016","Other angiosperm",83,225,88,0.3688888889,142
36,"HBA","ROW","3C","S","AM",9,"17 May 2016","Other angiosperm",132,171,135,0.7719298246,143
36,"HBA","ROW","3C","S","PM",15,"17 May 2016","Other angiosperm",96,226,99,0.4247787611,144
1,"CSO","CANOPY","1A","N","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",1
1,"CSO","CANOPY","1A","N","PM",15,"17 May 2016","Other gymnosperm",11,13,13,0.8461538462,2
2,"CSO","CANOPY","1A","S","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",3
2,"CSO","CANOPY","1A","S","PM",15,"17 May 2016","Other gymnosperm",19,21,21,0.9047619048,4
5,"CSO","CANOPY","1B","N","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",5
5,"CSO","CANOPY","1B","N","PM",15,"17 May 2016","Other gymnosperm",9,12,12,0.75,6
6,"CSO","CANOPY","1B","S","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",7
6,"CSO","CANOPY","1B","S","PM",15,"17 May 2016","Other gymnosperm",44,54,54,0.8148148148,8
9,"CSO","CANOPY","1C","N","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",9
9,"CSO","CANOPY","1C","N","PM",15,"17 May 2016","Other gymnosperm",25,29,29,0.8620689655,10
10,"CSO","CANOPY","1C","S","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",11
10,"CSO","CANOPY","1C","S","PM",15,"17 May 2016","Other gymnosperm",21,27,26,0.7777777778,12
13,"CSO","CANOPY","2A","N","AM",9,"17 May 2016","Other gymnosperm",2,7,3,0.2857142857,13
13,"CSO","CANOPY","2A","N","PM",15,"17 May 2016","Other gymnosperm",21,21,21,1,14
14,"CSO","CANOPY","2A","S","AM",9,"17 May 2016","Other gymnosperm",9,15,13,0.6,15
14,"CSO","CANOPY","2A","S","PM",15,"17 May 2016","Other gymnosperm",3,4,3,0.75,16
17,"CSO","CANOPY","2B","N","AM",9,"17 May 2016","Other gymnosperm",3,5,5,0.6,17
17,"CSO","CANOPY","2B","N","PM",15,"17 May 2016","Other gymnosperm",8,14,13,0.5714285714,18
18,"CSO","CANOPY","2B","S","AM",9,"17 May 2016","Other gymnosperm",1,4,4,0.25,19
18,"CSO","CANOPY","2B","S","PM",15,"17 May 2016","Other gymnosperm",49,60,60,0.8166666667,20
21,"CSO","CANOPY","2C","N","AM",9,"17 May 2016","Other gymnosperm",3,8,8,0.375,21
21,"CSO","CANOPY","2C","N","PM",15,"17 May 2016","Other gymnosperm",16,26,26,0.6153846154,22
22,"CSO","CANOPY","2C","S","AM",9,"17 May 2016","Other gymnosperm",2,4,4,0.5,23
22,"CSO","CANOPY","2C","S","PM",15,"17 May 2016","Other gymnosperm",34,41,41,0.8292682927,24
25,"CSO","CANOPY","3A","N","AM",9,"17 May 2016","Other gymnosperm",8,15,13,0.5333333333,25
25,"CSO","CANOPY","3A","N","PM",15,"17 May 2016","Other gymnosperm",7,16,14,0.4375,26
26,"CSO","CANOPY","3A","S","AM",9,"17 May 2016","Other gymnosperm",4,8,7,0.5,27
26,"CSO","CANOPY","3A","S","PM",15,"17 May 2016","Other gymnosperm",0,1,1,0,28
29,"CSO","CANOPY","3B","N","AM",9,"17 May 2016","Other gymnosperm",0,5,5,0,29
29,"CSO","CANOPY","3B","N","PM",15,"17 May 2016","Other gymnosperm",0,10,10,0,30
30,"CSO","CANOPY","3B","S","AM",9,"17 May 2016","Other gymnosperm",3,3,3,1,31
30,"CSO","CANOPY","3B","S","PM",15,"17 May 2016","Other gymnosperm",41,44,44,0.9318181818,32
33,"CSO","CANOPY","3C","N","AM",9,"17 May 2016","Other gymnosperm",2,2,2,1,33
33,"CSO","CANOPY","3C","N","PM",15,"17 May 2016","Other gymnosperm",16,22,22,0.7272727273,34
34,"CSO","CANOPY","3C","S","AM",9,"17 May 2016","Other gymnosperm",14,17,17,0.8235294118,35
34,"CSO","CANOPY","3C","S","PM",15,"17 May 2016","Other gymnosperm",3,7,7,0.4285714286,36
3,"CSO","ROW","1A","N","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",37
3,"CSO","ROW","1A","N","PM",15,"17 May 2016","Other gymnosperm",26,30,29,0.8666666667,38
4,"CSO","ROW","1A","S","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",39
4,"CSO","ROW","1A","S","PM",15,"17 May 2016","Other gymnosperm",6,6,6,1,40
7,"CSO","ROW","1B","N","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",41
7,"CSO","ROW","1B","N","PM",15,"17 May 2016","Other gymnosperm",17,18,18,0.9444444444,42
8,"CSO","ROW","1B","S","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",43
8,"CSO","ROW","1B","S","PM",15,"17 May 2016","Other gymnosperm",5,6,6,0.8333333333,44
11,"CSO","ROW","1C","N","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",45
11,"CSO","ROW","1C","N","PM",15,"17 May 2016","Other gymnosperm",14,15,15,0.9333333333,46
12,"CSO","ROW","1C","S","AM",9,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",47
12,"CSO","ROW","1C","S","PM",15,"17 May 2016","Other gymnosperm",12,13,12,0.9230769231,48
15,"CSO","ROW","2A","N","AM",9,"17 May 2016","Other gymnosperm",7,10,9,0.7,49
15,"CSO","ROW","2A","N","PM",15,"17 May 2016","Other gymnosperm",9,12,11,0.75,50
16,"CSO","ROW","2A","S","AM",9,"17 May 2016","Other gymnosperm",18,34,32,0.5294117647,51
16,"CSO","ROW","2A","S","PM",15,"17 May 2016","Other gymnosperm",12,15,14,0.8,52
19,"CSO","ROW","2B","N","AM",9,"17 May 2016","Other gymnosperm",6,11,11,0.5454545455,53
19,"CSO","ROW","2B","N","PM",15,"17 May 2016","Other gymnosperm",14,26,22,0.5384615385,54
20,"CSO","ROW","2B","S","AM",9,"17 May 2016","Other gymnosperm",4,7,7,0.5714285714,55
20,"CSO","ROW","2B","S","PM",15,"17 May 2016","Other gymnosperm",14,17,17,0.8235294118,56
23,"CSO","ROW","2C","N","AM",9,"17 May 2016","Other gymnosperm",4,5,5,0.8,57
23,"CSO","ROW","2C","N","PM",15,"17 May 2016","Other gymnosperm",4,5,5,0.8,58
24,"CSO","ROW","2C","S","AM",9,"17 May 2016","Other gymnosperm",6,9,9,0.6666666667,59
24,"CSO","ROW","2C","S","PM",15,"17 May 2016","Other gymnosperm",2,4,4,0.5,60
27,"CSO","ROW","3A","N","AM",9,"17 May 2016","Other gymnosperm",4,18,11,0.2222222222,61
27,"CSO","ROW","3A","N","PM",15,"17 May 2016","Other gymnosperm",3,7,5,0.4285714286,62
28,"CSO","ROW","3A","S","AM",9,"17 May 2016","Other gymnosperm",12,43,22,0.2790697674,63
28,"CSO","ROW","3A","S","PM",15,"17 May 2016","Other gymnosperm",1,1,1,1,64
31,"CSO","ROW","3B","N","AM",9,"17 May 2016","Other gymnosperm",8,12,12,0.6666666667,65
31,"CSO","ROW","3B","N","PM",15,"17 May 2016","Other gymnosperm",0,8,8,0,66
32,"CSO","ROW","3B","S","AM",9,"17 May 2016","Other gymnosperm",9,14,14,0.6428571429,67
32,"CSO","ROW","3B","S","PM",15,"17 May 2016","Other gymnosperm",0,5,5,0,68
35,"CSO","ROW","3C","N","AM",9,"17 May 2016","Other gymnosperm",15,17,17,0.8823529412,69
35,"CSO","ROW","3C","N","PM",15,"17 May 2016","Other gymnosperm",0,5,5,0,70
36,"CSO","ROW","3C","S","AM",9,"17 May 2016","Other gymnosperm",4,9,9,0.4444444444,71
36,"CSO","ROW","3C","S","PM",15,"17 May 2016","Other gymnosperm",0,4,4,0,72
1,"HBA","CANOPY","1A","N","AM",9,"17 May 2016","Other gymnosperm",0,38,25,0,73
1,"HBA","CANOPY","1A","N","PM",15,"17 May 2016","Other gymnosperm",5,374,129,0.013368984,74
2,"HBA","CANOPY","1A","S","AM",9,"17 May 2016","Other gymnosperm",0,118,38,0,75
2,"HBA","CANOPY","1A","S","PM",15,"17 May 2016","Other gymnosperm",2,144,46,0.0138888889,76
5,"HBA","CANOPY","1B","N","AM",9,"17 May 2016","Other gymnosperm",1,351,151,0.0028490028,77
5,"HBA","CANOPY","1B","N","PM",15,"17 May 2016","Other gymnosperm",7,884,354,0.007918552,78
6,"HBA","CANOPY","1B","S","AM",9,"17 May 2016","Other gymnosperm",0,338,142,0,79
6,"HBA","CANOPY","1B","S","PM",15,"17 May 2016","Other gymnosperm",5,490,179,0.0102040816,80
9,"HBA","CANOPY","1C","N","AM",9,"17 May 2016","Other gymnosperm",0,197,93,0,81
9,"HBA","CANOPY","1C","N","PM",15,"17 May 2016","Other gymnosperm",1,446,170,0.0022421525,82
10,"HBA","CANOPY","1C","S","AM",9,"17 May 2016","Other gymnosperm",0,589,189,0,83
10,"HBA","CANOPY","1C","S","PM",15,"17 May 2016","Other gymnosperm",3,508,182,0.0059055118,84
13,"HBA","CANOPY","2A","N","AM",9,"17 May 2016","Other gymnosperm",1,42,13,0.0238095238,85
13,"HBA","CANOPY","2A","N","PM",15,"17 May 2016","Other gymnosperm","NA","NA","NA","NA",86
14,"HBA","CANOPY","2A","S","AM",9,"17 May 2016","Other gymnosperm",2,138,52,0.0144927536,87
14,"HBA","CANOPY","2A","S","PM",15,"17 May 2016","Other gymnosperm",13,291,103,0.0446735395,88
17,"HBA","CANOPY","2B","N","AM",9,"17 May 2016","Other gymnosperm",0,121,40,0,89
17,"HBA","CANOPY","2B","N","PM",15,"17 May 2016","Other gymnosperm",12,7471,2259,0.0016062107,90
18,"HBA","CANOPY","2B","S","AM",9,"17 May 2016","Other gymnosperm",1,84,26,0.0119047619,91
18,"HBA","CANOPY","2B","S","PM",15,"17 May 2016","Other gymnosperm",5,2212,778,0.0022603978,92
21,"HBA","CANOPY","2C","N","AM",9,"17 May 2016","Other gymnosperm",1,20,8,0.05,93
21,"HBA","CANOPY","2C","N","PM",15,"17 May 2016","Other gymnosperm",1,197,49,0.0050761421,94
22,"HBA","CANOPY","2C","S","AM",9,"17 May 2016","Other gymnosperm",2,92,37,0.0217391304,95
22,"HBA","CANOPY","2C","S","PM",15,"17 May 2016","Other gymnosperm",7,958,270,0.0073068894,96
25,"HBA","CANOPY","3A","N","AM",9,"17 May 2016","Other gymnosperm",0,50,31,0,97
25,"HBA","CANOPY","3A","N","PM",15,"17 May 2016","Other gymnosperm",5,922,278,0.0054229935,98
26,"HBA","CANOPY","3A","S","AM",9,"17 May 2016","Other gymnosperm",0,146,68,0,99
26,"HBA","CANOPY","3A","S","PM",15,"17 May 2016","Other gymnosperm",3,1382,370,0.002170767,100
29,"HBA","CANOPY","3B","N","AM",9,"17 May 2016","Other gymnosperm",0,79,37,0,101
29,"HBA","CANOPY","3B","N","PM",15,"17 May 2016","Other gymnosperm",5,675,182,0.0074074074,102
30,"HBA","CANOPY","3B","S","AM",9,"17 May 2016","Other gymnosperm",2,242,112,0.0082644628,103
30,"HBA","CANOPY","3B","S","PM",15,"17 May 2016","Other gymnosperm",4,260,81,0.0153846154,104
33,"HBA","CANOPY","3C","N","AM",9,"17 May 2016","Other gymnosperm",4,6398,3171,0.0006251954,105
33,"HBA","CANOPY","3C","N","PM",15,"17 May 2016","Other gymnosperm",0,576,207,0,106
34,"HBA","CANOPY","3C","S","AM",9,"17 May 2016","Other gymnosperm",1,483,224,0.0020703934,107
34,"HBA","CANOPY","3C","S","PM",15,"17 May 2016","Other gymnosperm",5,679,296,0.0073637703,108
3,"HBA","ROW","1A","N","AM",9,"17 May 2016","Other gymnosperm",4,55,28,0.0727272727,109
3,"HBA","ROW","1A","N","PM",15,"17 May 2016","Other gymnosperm",2,121,56,0.0165289256,110
4,"HBA","ROW","1A","S","AM",9,"17 May 2016","Other gymnosperm",3,307,85,0.009771987,111
4,"HBA","ROW","1A","S","PM",15,"17 May 2016","Other gymnosperm",2,145,67,0.0137931034,112
7,"HBA","ROW","1B","N","AM",9,"17 May 2016","Other gymnosperm",0,36,20,0,113
7,"HBA","ROW","1B","N","PM",15,"17 May 2016","Other gymnosperm",3,176,59,0.0170454545,114
8,"HBA","ROW","1B","S","AM",9,"17 May 2016","Other gymnosperm",2,63,38,0.0317460317,115
8,"HBA","ROW","1B","S","PM",15,"17 May 2016","Other gymnosperm",7,189,78,0.037037037,116
11,"HBA","ROW","1C","N","AM",9,"17 May 2016","Other gymnosperm",1,93,41,0.0107526882,117
11,"HBA","ROW","1C","N","PM",15,"17 May 2016","Other gymnosperm",2,143,49,0.013986014,118
12,"HBA","ROW","1C","S","AM",9,"17 May 2016","Other gymnosperm",0,99,29,0,119
12,"HBA","ROW","1C","S","PM",15,"17 May 2016","Other gymnosperm",4,303,102,0.0132013201,120
15,"HBA","ROW","2A","N","AM",9,"17 May 2016","Other gymnosperm",1,83,31,0.0120481928,121
15,"HBA","ROW","2A","N","PM",15,"17 May 2016","Other gymnosperm",6,110,37,0.0545454545,122
16,"HBA","ROW","2A","S","AM",9,"17 May 2016","Other gymnosperm",3,180,72,0.0166666667,123
16,"HBA","ROW","2A","S","PM",15,"17 May 2016","Other gymnosperm",4,189,73,0.0211640212,124
19,"HBA","ROW","2B","N","AM",9,"17 May 2016","Other gymnosperm",2,55,29,0.0363636364,125
19,"HBA","ROW","2B","N","PM",15,"17 May 2016","Other gymnosperm",6,200,67,0.03,126
20,"HBA","ROW","2B","S","AM",9,"17 May 2016","Other gymnosperm",0,196,79,0,127
20,"HBA","ROW","2B","S","PM",15,"17 May 2016","Other gymnosperm",7,201,81,0.0348258706,128
23,"HBA","ROW","2C","N","AM",9,"17 May 2016","Other gymnosperm",1,40,19,0.025,129
23,"HBA","ROW","2C","N","PM",15,"17 May 2016","Other gymnosperm",2,142,46,0.014084507,130
24,"HBA","ROW","2C","S","AM",9,"17 May 2016","Other gymnosperm",0,147,43,0,131
24,"HBA","ROW","2C","S","PM",15,"17 May 2016","Other gymnosperm",10,349,115,0.0286532951,132
27,"HBA","ROW","3A","N","AM",9,"17 May 2016","Other gymnosperm",2,63,22,0.0317460317,133
27,"HBA","ROW","3A","N","PM",15,"17 May 2016","Other gymnosperm",2,133,44,0.015037594,134
28,"HBA","ROW","3A","S","AM",9,"17 May 2016","Other gymnosperm",6,234,92,0.0256410256,135
28,"HBA","ROW","3A","S","PM",15,"17 May 2016","Other gymnosperm",3,138,46,0.0217391304,136
31,"HBA","ROW","3B","N","AM",9,"17 May 2016","Other gymnosperm",1,108,50,0.0092592593,137
31,"HBA","ROW","3B","N","PM",15,"17 May 2016","Other gymnosperm",0,179,48,0,138
32,"HBA","ROW","3B","S","AM",9,"17 May 2016","Other gymnosperm",3,305,151,0.0098360656,139
32,"HBA","ROW","3B","S","PM",15,"17 May 2016","Other gymnosperm",2,156,53,0.0128205128,140
35,"HBA","ROW","3C","N","AM",9,"17 May 2016","Other gymnosperm",0,118,53,0,141
35,"HBA","ROW","3C","N","PM",15,"17 May 2016","Other gymnosperm",5,225,88,0.0222222222,142
36,"HBA","ROW","3C","S","AM",9,"17 May 2016","Other gymnosperm",3,171,135,0.0175438596,143
36,"HBA","ROW","3C","S","PM",15,"17 May 2016","Other gymnosperm",3,226,99,0.0132743363,144
